Title,Link,authors,year,abstract_text,source_url,title
Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/,"Robert J Ferl, Jin Koh, Fiona Denison, Anna-Lisa Paul",2015,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/,Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,"Robert J Ferl, Anna-Lisa Paul",2016,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit
Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,"Eric R Schultz, Agata K Zupanska, Natasha J Sng, Anna-Lisa Paul, Robert J Ferl",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,Skewing in Arabidopsis roots involves disparate environmental signaling pathways
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,"Mingqi Zhou, Anna-Lisa Paul, Robert J Ferl",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana"
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,"Anna-Lisa Paul, Natasha J Sng, Agata K Zupanska, Aparna Krishnamurthy, Eric R Schultz, Robert J Ferl",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,"Natasha J Sng, Anna-Lisa Paul, Robert J Ferl",2018,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,Phenotypic characterization of an Arabidopsis T-DNA insertion line SALK_063500
Utilization of single‚Äêimage normalized difference vegetation index (SI‚ÄêNDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,"Nicole S Beisel, Jordan B Callaham, Natasha J Sng, Dylan J Taylor, Anna‐Lisa Paul, Robert J Ferl",2018,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,Utilization of single‐image normalized difference vegetation index (SI‐NDVI) for early plant stress detection
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,"Aparna Krishnamurthy, Robert J Ferl, Anna‐Lisa Paul",2018,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,Comparing RNA‐Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,"Nicole S Beisel, Jerald Noble, W Brad Barbazuk, Anna-Lisa Paul, Robert J Ferl",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,"Paul Zabel, Conrad Zeidler, Vincent Vrakking, Markus Dorn, Daniel Schubert",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,Biomass Production of the EDEN ISS Space Greenhouse in Antarctica During the 2018 Experiment Phase
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,"Brandon Califar, Natasha J Sng, Agata Zupanska, Anna-Lisa Paul, Robert J Ferl",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,Root Skewing-Associated Genes Impact the Spaceflight Response of Arabidopsis thaliana
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,"Jamie Fitzgerald, Jamie Endicott, Uwe Hansen, Cathleen Janowitz",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,Articular cartilage and sternal fibrocartilage respond differently to extended microgravity
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,"Jamie S Foster, Raymond M Wheeler, Regine Pamphile",2014,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,Host-Microbe Interactions in Microgravity: Assessment and Implications
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,"Elizabeth AC Heath-Heckman, Jamie Foster, Michael A Apicella, William E Goldman, Margaret McFall-Ngai",2016,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,"Mahdi Belcaid, Giorgio Casaburi, Sarah J McAnulty, Hannah Schmidbaur, Andrea M Suria, Silvia Moriano-Gutierrez, M Sabrina Pankey, Todd H Oakley, Natacha Kremer, Eric J Koch, Andrew J Collins, Hoan Nguyen, Sai Lek, Irina Goncharenko-Foster, Patrick Minx, Erica Sodergren, George Weinstock, Daniel S Rokhsar, Margaret McFall-Ngai, Oleg Simakov, Jamie S Foster, Spencer V Nyholm",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,Symbiotic organs shaped by distinct modes of genome evolution in cephalopods
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,"Madeline M Vroom, Yaneli Rodriguez-Ocasio, Jonathan B Lynch, Edward G Ruby, Jamie S Foster",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,"Hannah Schmidbaur, Akane Kawaguchi, Tereza Clarence, Xiao Fu, Oi Pui Hoang, Bob Zimmermann, Elena A Ritschard, Anton Weissenbacher, Jamie S Foster, Spencer V Nyholm, Paul A Bates, Caroline B Albertin, Elly Tanaka, Oleg Simakov",2022,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,"Madeline M Vroom, Angel Troncoso-Garcia, Alexandrea A Duscher, Jamie S Foster",2022,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,"PK Valonen, FT Moutos, A Kusanagi, M Moretti, BO Diekman, JF Welter, AI Caplan, F Guilak, LE Freed",2010,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(ε-caprolactone) scaffolds
Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,"Christoffer K Abrahamsson, Fan Yang, Hyoungshin Park, Jonathan M Brunger, Piia K Valonen, Robert Langer, Jean F Welter, Arnold I Caplan, Farshid Guilak, Lisa E Freed",2010,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,Chondrogenesis and Mineralization During In Vitro Culture of Human Mesenchymal Stem Cells on Three-Dimensional Woven Scaffolds
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,"Pajau Vangay, Josephine Burgin, Anjanette Johnston, Kristen L Beck, Daniel C Berrios, Kai Blumberg, Shane Canon, Patrick Chain, John-Marc Chandonia, Danielle Christianson, Sylvain V Costes, Joan Damerow, William D Duncan, Jose Pablo Dundore-Arias, Kjiersten Fagnan, Jonathan M Galazka, Sean M Gibbons, David Hays, Judson Hervey, Bin Hu, Bonnie L Hurwitz, Pankaj Jaiswal, Marcin P Joachimiak, Linda Kinkel, Joshua Ladau, Stanton L Martin, Lee Ann McCue, Kayd Miller, Nigel Mouncey, Chris Mungall, Evangelos Pafilis, T B K Reddy, Lorna Richardson, Simon Roux, Lynn M Schriml, Justin P Shaffer, Jagadish Chandrabose Sundaramurthi, Luke R Thompson, Ruth E Timme, Jie Zheng, Elisha M Wood-Charlson, Emiley A Eloe-Fadrosh",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,"Correction for Vangay et al., “Microbiome Metadata Standards: Report of the National Microbiome Data Collaborative’s Workshop and Follow-On Activities”"
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,"E Gonzalez, M D Lee, B T Tierney, N Lipieta, P Flores, M Mishra, L Beckett, A Finkelstein, A Mo, P Walton, F Karouia, R Barker, R J Jansen, S J Green, S Weging, J Kelliher, N K Singh, D Bezdan, J Galazska, N J B Brereton",2024,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,Spaceflight alters host-gut microbiota interactions
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,"Rachel Gilbert, Nicole Tanenbaum, Sharmila Bhattacharya",2022,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,"Anna C Simpson, V V Ramprasad Eedara, Nitin K Singh, Namita Damle, Ceth W Parker, Fathi Karouia, Christopher E Mason, Kasthuri Venkateswaran",2023,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,"Nitin K Singh, Jason M Wood, Jose Patane, Livia Maria Silva Moura, Jonathan Lombardino, João Carlos Setubal, Kasthuri Venkateswaran",2023,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Characterization of metagenome-assembled genomes from the International Space Station
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,"Neil R Gottel, Megan S Hill, Maxwell J Neal, Sarah M Allard, Karsten Zengler, Jack A Gilbert",2024,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,Biocontrol in built environments to reduce pathogen exposure and infection risk
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,"Adeeba Dark, Vadim Demidchik, Siân L Richards, Sergey Shabala, Julia M Davies",2011,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,Release of extracellular purines from plant roots and effect on ion fluxes
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Han-Qing Wang, Xing-Yu Zhao, Zhong Tang, Xin-Yuan Huang, Peng Wang, Wenhua Zhang, Yunhui Zhang, Sheng Luan, Fang-Jie Zhao",2025,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Han-Qing Wang, Xing-Yu Zhao, Zhong Tang, Xin-Yuan Huang, Peng Wang, Wenhua Zhang, Yunhui Zhang, Sheng Luan, Fang-Jie Zhao",2025,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,"Won-Gyu Choi, Masatsugu Toyota, Su-Hwa Kim, Richard Hilleary, Simon Gilroy",2014,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants"
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Han-Qing Wang, Xing-Yu Zhao, Zhong Tang, Xin-Yuan Huang, Peng Wang, Wenhua Zhang, Yunhui Zhang, Sheng Luan, Fang-Jie Zhao",2025,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,"Ashley Ann Alvarez, Sang Won Han, Masatsugu Toyota, Carla Brillada, Jiameng Zheng, Simon Gilroy, Marcela Rojas-Pierce",2016,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls
A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,"Matthew J Evans, Won-Gyu Choi, Simon Gilroy, Richard J Morris",2016,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,A ROS-Assisted Calcium Wave Dependent on the AtRBOHD NADPH Oxidase and TPC1 Cation Channel Propagates the Systemic Response to Salt Stress
"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,"Sara I Zandalinas, Yosef Fichman, Ron Mittler",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,Vascular Bundles Mediate Systemic Reactive Oxygen Signaling during Light Stress
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,"Thomas R Vincent, James Canham, Masatsugu Toyota, Marieta Avramova, Sam T Mugford, Simon Gilroy, Anthony J Miller, Saskia Hogenhout, Dale Sanders",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,"Won-Gyu Choi, Gad Miller, Ian Wallace, Jeffrey Harper, Ron Mittler, Simon Gilroy",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,"Orchestrating rapid long-distance signaling in plants with Ca2+, ROS and electrical signals"
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,"Rui Li, Yongfang Yang, Hao Lou, Weicheng Wang, Ran Du, Haidong Chen, Xiaoxi Du, Shuai Hu, Guo-Liang Wang, Jianbin Yan, Xiaoyi Shan, Daoxin Xie",2025,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,"Glutathione triggers leaf-to-leaf, calcium-based plant defense signaling"
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,"Richard Barker, Jonathan Lombardino, Kai Rasmussen, Simon Gilroy",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,Test of Arabidopsis Space Transcriptome: A Discovery Environment to Explore Multiple Plant Biology Spaceflight Experiments
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,"Richard Hilleary, Julio Paez-Valencia, Cullen Vens, Masatsugu Toyota, Michael Palmgren, Simon Gilroy",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,"Sarah Johns, Takuma Hagihara, Masatsugu Toyota, Simon Gilroy",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,The fast and the furious: rapid long-range signaling in plants
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,"Richard Barker, Sylvain V Costes, Jack Miller, Samrawit G Gebre, Jonathan Lombardino, Simon Gilroy",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,Rad-Bio-App: a discovery environment for biologists to explore spaceflight-related radiation exposures
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,"Jian Yang, Iny Elizebeth Mathew, Hormat Rhein, Richard Barker, Qi Guo, Luca Brunello, Elena Loreti, Bronwyn J Barkla, Simon Gilroy, Pierdomenico Perata, Kendal D Hirschi",2022,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,"Richard Barker, Colin P S Kruse, Christina Johnson, Amanda Saravia-Butler, Homer Fogle, Hyun-Seok Chang, Ralph Møller Trane, Noah Kinscherf, Alicia Villacampa, Aránzazu Manzano, Raúl Herranz, Laurence B Davin, Norman G Lewis, Imara Perera, Chris Wolverton, Parul Gupta, Pankaj Jaiswal, Sigrid S Reinsch, Sarah Wyatt, Simon Gilroy",2023,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,"Joshua S Alwood, Akhilesh Kumar, Luan H Tran, Angela Wang, Charles L Limoli, Ruth K Globus",2012,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,"Low-Dose, Ionizing Radiation and Age-Related Changes in Skeletal Microarchitecture"
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,"Joshua S Alwood, Mohammad Shahnazari, Betsabel Chicana, AS Schreurs, Akhilesh Kumar, Alana Bartolini, Yasaman Shirazi-Fard, Ruth K Globus",2015,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,"Sungshin Choi, Hami E Ray, San-Huei Lai, Joshua S Alwood, Ruth K Globus",2016,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,"Chengfei Li, Yikai Pan, Yuan Wang, Xi Li, Yateng Tie, Shuhan Li, Ruonan Wang, Xingcheng Zhao, Jieyi Fan, Xianchun Yan, Yongchun Wang, Xiqing Sun",2025,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,Single-cell RNA sequencing of the carotid artery and femoral artery of rats exposed to hindlimb unloading
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,"Candice G T Tahimic, Ruth K Globus",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,"Candice G T Tahimic, Amber M Paul, Ann-Sofie Schreurs, Samantha M Torres, Linda Rubinstein, Sonette Steczina, Moniece Lowe, Sharmila Bhattacharya, Joshua S Alwood, April E Ronca, Ruth K Globus",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,Influence of Social Isolation During Prolonged Simulated Weightlessness by Hindlimb Unloading
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,"Sungshin Y Choi, Amanda Saravia-Butler, Yasaman Shirazi-Fard, Dennis Leveson-Gower, Louis S Stodieck, Samuel M Cadena, Janet Beegle, Stephanie Solis, April Ronca, Ruth K Globus",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,Validation of a New Rodent Experimental System to Investigate Consequences of Long Duration Space Habitation
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,"Jessica Cannavino, Lorenza Brocca, Marco Sandri, Bruno Grassi, Roberto Bottinelli, Maria Antonietta Pellegrino",2015,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,The role of alterations in mitochondrial dynamics and PGC-1α over-expression in fast muscle atrophy following hindlimb unloading
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,"Linda Rubinstein, Ann-Sofie Schreurs, Samantha M Torres, Sonette Steczina, Moniece G Lowe, Frederico Kiffer, Antiño R Allen, April E Ronca, Marianne B Sowa, Ruth K Globus, Candice G T Tahimic",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation
An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,"Ching-Jung Lin, Peter Smibert, Xiaoyu Zhao, Jennifer F Hu, Johnny Ramroop, Stefanie M Kellner, Matthew A Benton, Shubha Govind, Peter C Dedon, Rolf Sternglanz, Eric C Lai",2015,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis
Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,"Mary Heavner, Johnny Ramroop, Gwenaelle Gueguen, Girish Ramrattan, Georgia Dolios, Michael Scarpati, Jonathan Kwiat, Sharmila Bhattacharya, Rong Wang, Shaneen Singh, Shubha Govind",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,Novel organelles with elements of bacterial and eukaryotic secretion systems weaponize parasites of Drosophila
A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,"Michael Scarpati, Yan Qi, Shubha Govind, Shaneen Singh",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster
Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,"Brian Wey, Mary Ellen Heavner, Kameron T Wittmeyer, Thomas Briese, Keith R Hopper, Shubha Govind",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,Immune Suppressive Extracellular Vesicle Proteins of Leptopilina heterotoma Are Encoded in the Wasp Genome
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"Rachel Gilbert, Medaya Torres, Rachel Clemens, Shannon Hateley, Ravikumar Hosamani, William Wade, Sharmila Bhattacharya",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model
A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,"Johnny R Ramroop, Mary Ellen Heavner, Zubaidul H Razzak, Shubha Govind",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host’s blood cells
In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation‚ÄìPolar‚ÄìCation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,"Joseph Arguelles, Jenny Lee, Lady V Cardenas, Shubha Govind, Shaneen Singh",2023,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"Jennifer Chou, Johnny R Ramroop, Amanda M Saravia-Butler, Brian Wey, Matthew P Lera, Medaya L Torres, Mary Ellen Heavner, Janani Iyer, Siddhita D Mhatre, Sharmila Bhattacharya, Shubha Govind",2023,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"Jennifer Chou, Johnny R Ramroop, Amanda M Saravia-Butler, Brian Wey, Matthew P Lera, Medaya L Torres, Mary Ellen Heavner, Janani Iyer, Siddhita D Mhatre, Sharmila Bhattacharya, Shubha Govind",2023,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids
